,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
70,-0.6662,0.353,0.353,0.0,@BBC,2018-06-08 21:52:22,"@humantravl @withorpe @C1Christine @BBC I do, no one else seems that bothered ????",71
71,-0.4767,0.14,0.14,0.0,@BBC,2018-06-08 21:52:21,"@BBC can someone explain why the Graham Norton show, continues to receive license fee funding. Content poor and pol… https://t.co/CsYhquDTe9",72
72,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 21:52:17,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,73
73,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:51:33,@MsActiviss @MamaRose2017 @FBI @DNC @IndivisibleNet @AP @BBC @FRANCE24 @funder @Rosie @JimCarrey @Alyssa_Milano… https://t.co/hLWRTYUw3I,74
74,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:50:54,"RT @BBC: 🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the BBC | 11:05pm |…",75
75,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:50:53,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",76
76,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:50:19,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",77
77,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:50:08,@onhistodd @BBC @NASA @MitchBenn Now who has a filthy mouth ?,78
78,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:50:08,@localnotail @_Repo @TheStephenRalph @afneil @bbcthisweek @BBC @10DowningStreet We could have worked closely togeth… https://t.co/Rju6FKTnbs,79
79,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:49:41,RT @BBC: The unexpected pioneering women of electronic music. https://t.co/ih6gK1Sz0y,80
80,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:49:11,How the @bbc comes across speaking about @potus #newsnight https://t.co/GsNiOKupUl,81
81,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:49:06,"You won't hear this from the official channel of the Conservative Govt... The @BBC #Newsnight
It will lie like… https://t.co/MRVip5Bp6G",82
82,0.4939,0.0,0.0,0.167,@BBC,2018-06-08 21:48:55,"Viam un moment. Hi ha Top Gear a Netflix, he posat l’episodi més recent que he trobat. Vaig sentir que la BBC havia… https://t.co/XTTyK0024e",83
83,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:48:52,"RT @BBC: 🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the BBC | 11:05pm |…",84
84,-0.4939,0.16,0.16,0.0,@BBC,2018-06-08 21:48:24,@BBC long since stopped watching bbc tv ( lack of content ). Radio .. down to Ken now .. rip drivetime and jo while… https://t.co/0rC5XYFqbI,85
85,0.3182,0.0,0.0,0.133,@BBC,2018-06-08 21:47:19,"@BBC @BBC6Music @ArcticMonkeys @BBCR1 @BBCTwo They’re male, are you sure they’re allowed on the #BBC? #HearHim",86
86,-0.0516,0.135,0.135,0.126,@BBC,2018-06-08 21:47:09,"@nytimes a good article would be an investigation about fake followers on social media, and how presidents (i.e Mor… https://t.co/WlW4JBxFUy",87
87,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:46:16,"RT @BBC: 🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the BBC | 11:05pm |…",88
88,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:46:16,RT @KevinAllagapen: @ThinknBE @efoulon1 @NoussyBiba @michaelg10 oui je sais... c’était du documentaire de @BBC: Red Ape: Saving the Orangut…,89
89,-0.3089,0.148,0.148,0.0,@BBC,2018-06-08 21:46:03,"RT @BBC: 'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",90
90,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:45:58,"RT @brianwong_: Panel discussion now on tue #Science of @realDonaldTrump @CheltSciFest feat. @DanKaszeta, @flimsin (@kclgeography @KingsCol…",91
91,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:50,@BBCWorld @BBC https://t.co/6S0eevZONc,92
92,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:40,RT @Johnkamau7: @beverlyfelix3 @hickoryhill8520 @loratoug @DrLynnList @ToddTrotter3 @WhatASaviour7 @aref4950 @AntonyRugui @dibie_joy @poemo…,93
93,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:39,"RT @BBC: 🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the BBC | 11:05pm |…",94
94,0.6892,0.0,0.0,0.206,@BBC,2018-06-08 22:10:36,"@EB1caneyeB @Otto_English @MIkef45 @BBC When you think about it, ‘we’ subsidise TPA through our TV licenses! It’s a great system!",95
95,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:31,RT @Johnkamau7: @beverlyfelix3 @hickoryhill8520 @loratoug @DrLynnList @ToddTrotter3 @WhatASaviour7 @aref4950 @AntonyRugui @dibie_joy @poemo…,96
96,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:10:07,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",97
97,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:09:46,"RT @BBC6Music: Our #HearHer day is part of the @BBC’s Hear Her season, to mark 100 years since some women got the vote. Learn lots more at…",98
98,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 22:09:20,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,99
99,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 22:09:02,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,100
100,-0.8056,0.248,0.248,0.0,@BBC,2018-06-08 22:08:37,"RT @rick135b7: HINDU LADIES TALK ABOUT THE MASSACRES IN THEIR VILLAGES, AND THE LIES THEY WERE FORCED TO SAY - BY THE BENGALI MUSLIMS (so-c…",101
101,-0.3089,0.148,0.148,0.0,@BBC,2018-06-08 22:07:37,"RT @BBC: 'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",102
102,0.4215,0.0,0.0,0.113,@BBC,2018-06-08 22:07:24,"RT @ProSoundNews: NIGHT RECAP: @BBC to Close Iconic Maida Vale Studios, which hosted sessions from the likes of Bing Crosby, the Beatles an…",103
103,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:36,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",104
104,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 22:06:28,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,105
105,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:17,RT @emmancipator: @MsActiviss @MamaRose2017 @FBI @DNC @IndivisibleNet @AP @BBC @FRANCE24 @funder @Rosie @JimCarrey @Alyssa_Milano @robreine…,106
106,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:17,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",107
107,0.5859,0.0,0.0,0.322,@BBC,2018-06-08 22:06:16,Everyone working on the #Ambulance are simply amazing @BBC,108
108,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:16,RT @Bolajister: @NijaActivist @segalink @BBCBreaking @BBC @CNN #EndSARS @CNNAfrica @BBCAfrica @SubDeliveryZone @segalink @MBuhari @MBuhari…,109
109,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:09,"RT @BBC: 🎶 Tonight, @ArcticMonkeys perform live for @BBCR1 at the legendary Maida Vale studios.

Artic Monkeys Live at the BBC | 11:05pm |…",110
110,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:06:07,@jasonsfolly @CHIMPSINSOCKS @davidwalliams @alexandramusic @daraobriain @ShobnaGulati @simon_francesca… https://t.co/jVhmm7UAnI,111
111,0.4019,0.0,0.0,0.119,@BBC,2018-06-08 22:06:05,Yes retweet for that reason and also to get answer to why they get so much air time on @BBC https://t.co/icCh7nOJAP,112
112,-0.5719,0.19,0.19,0.074,@BBC,2018-06-08 22:06:04,RT @AldavisonA: @NijaActivist @oluwaloninyo @segalink @BBCBreaking @BBC @CNN There is an evil spirit associated with the present admin that…,113
113,0.0,0.0,0.0,0.0,@BBC,2018-06-08 22:05:56,"RT @Allatsea4: @BBC @Britnatureguide 5 factoids, on the #HighSeas (and why they need protection):

* 2 million unidentified species

* 95 p…",114
114,0.5413,0.0,0.0,0.225,@BBC,2018-06-08 22:05:53,"RT @BBC: These ducklings jumping from their nest are absolutely adorable. 🦆🐣❤️️
https://t.co/NlQijnt3hm",115
115,0.75,0.0,0.0,0.273,@CBS,2018-06-08 22:10:45,"RT @HawaiiFive0CBS: This fall, the Aloha State is getting backup. #H50 is proud to welcome @MagnumPICBS to @CBS! https://t.co/K65pjGqzYh",1
116,0.3561,0.184,0.184,0.241,@CBS,2018-06-08 22:10:26,@CBS come on people!!! You clearly made a mistake. Renew Scorpion cause you clearly made a mistake. The world wants… https://t.co/cq1pUZiT6A,2
117,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:10:25,@David_Leavitt @CBS @Yahoo @ExaminerOnline @axs,3
118,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:10:08,RT @akoria: I choose you!  #SaveLucifer #PickUpLucifer @LesleyAnnBrandt @tomellis17 @dbwofficial @Ildymojo @CBS @AmazonStudios @netflix @hu…,4
119,0.4019,0.0,0.0,0.351,@CBS,2018-06-08 22:09:54,@David_Leavitt @CBS do you support this?,5
120,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:09:47,@David_Leavitt @CBS @Yahoo @ExaminerOnline you employee this dude? Might wanna reconsider. #whattadbag,6
121,-0.6249,0.194,0.194,0.0,@CBS,2018-06-08 22:09:46,RT @WF001Scorpion: And another reason why @ScorpionCBS should NOT have been canceled. Worst decision ever. @CBS #howthemightywillfall #save…,7
122,0.8398,0.0,0.0,0.37,@CBS,2018-06-08 22:09:23,RT @GodFriendedMe: An outspoken atheist's life takes a surprising turn when he accepts a social media friend request from God! Watch what h…,8
123,0.4404,0.0,0.0,0.209,@CBS,2018-06-08 22:09:04,RT @pjstevens0101: @DouglasHespelt @Grandje79727717 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS Surely the…,9
124,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:08:56,RT @pattysartwork: @DouglasHespelt @Grandje79727717 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS @ScorpionCB…,10
125,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:08:37,RT @DouglasHespelt: @Grandje79727717 @pjstevens0101 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS I am feelin…,11
126,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:08:31,RT @pattysartwork: @DouglasHespelt @Grandje79727717 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS I would als…,12
127,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:08:11,RT @Grandje79727717: @DouglasHespelt @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS I'm not saying they did it…,13
128,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:08:11,@David_Leavitt @CBS @CBSNews @Yahoo @YahooNews @ExaminerOnline,14
129,-0.516,0.217,0.217,0.0,@CBS,2018-06-08 22:07:50,RT @pjstevens0101: @DouglasHespelt @Grandje79727717 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS FIGHT TO SA…,15
130,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:07:50,RT @DouglasHespelt: @Grandje79727717 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS I feel the writers are not…,16
131,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:07:36,RT @pattysartwork: @DouglasHespelt @Grandje79727717 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS I would als…,17
132,0.8591,0.0,0.0,0.368,@CBS,2018-06-08 22:07:32,"God bless 
I hope someone can help me understand with all the technology &amp; the money put into research &amp; Space prog… https://t.co/al7MDGQ75m",18
133,0.0,0.0,0.0,0.0,@CBS,2018-06-08 22:07:02,RT @pattysartwork: @DouglasHespelt @Grandje79727717 @killianfleury45 @chpspics @KayneSir @just_a_meow_mom @ScorpionWriters @CBS @ScorpionCB…,19
134,0.4215,0.0,0.0,0.157,@CBS,2018-06-08 22:06:14,RT @JKCorden: Tonight’s @latelateshow might be one of my favorites of all time x @CBS 12.30 x #LateLateShawn,20
