,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
284,0.5267,0.0,0.0,0.327,@CNN,2018-03-29 18:14:08,@CNN Tweety Bird casts his wisdom upon us.,49
285,-0.765,0.485,0.485,0.0,@CNN,2018-03-29 18:14:08,Cops fatally shoot man holding cell phone @CNN https://t.co/yHtuJDhERo,50
286,-0.1779,0.116,0.116,0.0,@CNN,2018-03-29 18:14:08,"RT @CNN: Trump is touting his infrastructure plans in in Ohio

Live updates: https://t.co/MzxsHvkBYZ",51
287,-0.5719,0.255,0.255,0.118,@CNN,2018-03-29 18:14:04,Once again @KatyTurNBC and irresponsible producers at @MSNBC hand the open mike to the Racist Jester. At least @CNN… https://t.co/XgaO9nJx8I,52
288,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:03,@CNN Surprise!!!! Not.,53
289,0.4215,0.0,0.0,0.135,@CNN,2018-03-29 18:14:03,RT @Justsaytruth18: REPORT: Broward County Schools sitting on $100 Million allocated for school safety since 2014.Where is @davidhogg111 &amp;…,54
290,0.3786,0.0,0.0,0.156,@CNN,2018-03-29 18:14:03,"RT @jjordancox: .@CNN Boardroom: ""His vision is actually working, quick! change the narrative!"" @realDonaldTrump https://t.co/ld2bJKcdxO",55
291,0.3786,0.0,0.0,0.156,@CNN,2018-03-29 18:14:03,"RT @jjordancox: .@CNN Boardroom: ""His vision is actually working, quick! change the narrative!"" @realDonaldTrump https://t.co/ld2bJKcdxO",56
292,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:02,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,57
293,0.6369,0.0,0.0,0.206,@CNN,2018-03-29 18:14:02,RT @CNN: Why Trump pardoning Paul Manafort or Michael Flynn would look at lot like quid pro quo | Analysis by @zbyronwolf https://t.co/b1tC…,58
294,0.4207,0.163,0.163,0.239,@CNN,2018-03-29 18:14:01,"@CNN Good, screw the Russians. We’re not better off working with despite what our dumb President Trump says.",59
295,0.4158,0.186,0.186,0.322,@CNN,2018-03-29 18:14:01,@CNN There goes CNN with more bad polls...just like Hillary was a 97% win,60
296,-0.8398,0.409,0.409,0.0,@CNN,2018-03-29 18:14:01,"RT @hredriders: Stop acting a fool. Nobody buys your shit! @davidhogg111 @realDonaldTrump @CNN
#HoggWash 
#FakeNews 
#CNN https://t.co/zaLV…",61
297,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:01,@CNN CORRECTION: #Trump is spewing bullsh*t to his base in ohio.,62
298,-0.7644,0.268,0.268,0.0,@CNN,2018-03-29 18:14:01,@CNN Trump sells arms to other countries &amp; blaming Russians...to make sales. This is dangerous! According to UK new… https://t.co/hSHioDMWKA,63
299,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:00,@cnn @msnbc @maddow @CNNPolitics @ABCPolitics @ABC @CBSNews @NBCNews @CBSTweet @CBS @nbc @realDonaldTrump @cnnbrk… https://t.co/dd9DcQ26Fz,64
300,0.4215,0.0,0.0,0.189,@CNN,2018-03-29 18:13:59,@CNN @JackPosobiec Is it true or did you see it on CNN? https://t.co/shHT82OsTQ,65
301,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:13:58,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,66
302,0.836,0.0,0.0,0.317,@CNN,2018-03-29 18:13:58,@CNN Take the usual 10% off that phony poll and he wins by a landslide. Love those accurate polls. 😂😂,67
303,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:58,"RT @Mechul_Fani: This is banditry!
5 Turkish teachers&amp;1Doctor hijacked by Turks in Kosovo.The Kosovo state became a joint venture
@UN
@RebH…",68
304,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:13:58,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,69
305,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:57,"RT @rameshchahal: #SaintMSG_Initiative58
#भरोसे_का_सहारा
ऑनर किलिंग जैसे बेलगाम अपराधों पर लगाम कसने के लिये डेरा अनुयायी मध्यस्थता कर घर…",70
306,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:56,This is so surreal - the way so many are “attacking” students for speaking out and expressing their own voices.  Sh… https://t.co/qtxFhsgXlJ,71
307,0.6808,0.0,0.0,0.583,@CNN,2018-03-29 18:13:56,@CNN 45 approved it already lol,72
308,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:56,@alozras411 @davidhogg111 is a harlot of the political activists employed at #MSM @CNN @ABC @CBSNews @NBCNews… https://t.co/ayqMqc8FJm,73
309,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:13:56,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,74
310,-0.34,0.231,0.231,0.0,@CNN,2018-03-29 18:13:55,"@CNN ""in in.?""

Go home you're drunk again CNN.",75
311,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:13:55,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,76
312,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:54,@KatyTurNBC @MSNBC @CNN @AriMelber @JoyAnnReid @CoryBooker @KamalaHarris @FBI @chrislhayes @maddow @PhilMurphyNJ… https://t.co/15z5XTKD3F,77
313,0.6369,0.0,0.0,0.206,@CNN,2018-03-29 18:13:54,RT @CNN: Why Trump pardoning Paul Manafort or Michael Flynn would look at lot like quid pro quo | Analysis by @zbyronwolf https://t.co/b1tC…,78
314,0.6369,0.0,0.0,0.375,@CNN,2018-03-29 18:13:53,@CNN Trump is the best president ever. #MAGA,79
315,-0.0173,0.166,0.166,0.203,@CNN,2018-03-29 18:13:53,@CNN History of Trump tweets linking Amazon to his hatred of Washington Post / Bezos... he's CLEARLY being vindicti… https://t.co/yYVrZ5s2O7,80
316,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:52,@CNN F*** Donald Trump,81
317,0.2023,0.193,0.193,0.255,@CNN,2018-03-29 18:13:52,"RT @CNN: This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt https://t.co/2BxR…",82
318,0.4215,0.0,0.0,0.483,@CNN,2018-03-29 18:13:52,@CNN Presum abely lol,83
319,-0.3818,0.191,0.191,0.0,@CNN,2018-03-29 18:13:52,Russia expels US diplomats and shuts consulate in tit-for-tat move @CNN https://t.co/EGDwzvoSBj,84
320,0.25,0.066,0.066,0.117,@CNN,2018-03-29 18:13:52,"@CNN Santorum apologizing for misspoke, Laura Ingraham apologized to David Hogg for misspoke, this is what republicans are.",85
321,0.2023,0.193,0.193,0.255,@CNN,2018-03-29 18:13:51,"RT @CNN: This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt https://t.co/2BxR…",86
322,0.128,0.129,0.129,0.178,@CNN,2018-03-29 18:13:50,@CNN The desire for complete NATO control of Europe is obvious. US and Europe are scapegoating Russia for public support to go to war.,87
323,-0.4767,0.22,0.22,0.0,@CNN,2018-03-29 18:13:50,Everyone thinks @TheOnion is real news and @cnn is fake news https://t.co/evE278GJrc,88
324,-0.1779,0.116,0.116,0.0,@CNN,2018-03-29 18:13:50,"RT @CNN: Trump is touting his infrastructure plans in in Ohio

Live updates: https://t.co/MzxsHvkBYZ",89
325,-0.25,0.095,0.095,0.0,@CNN,2018-03-29 18:13:45,@MariaBarry19 @Acosta @realDonaldTrump @CNN That wall trump is talking about is being torn down in the photos and r… https://t.co/V5LlxaAeC5,90
326,0.6249,0.152,0.152,0.372,@CNN,2018-03-29 18:13:43,"RT @ninraut: #FeminismIsCancer Never accept kindness&amp;  #CrimeHasNoGender
#FakeFeminism encourage &amp; support  #FakeCases to destroy Indian-Ma…",91
327,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:43,@CNN Run Hillary again.,92
328,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:42,To @MSNBC and @CNN. You put that Russian traitor on and I shut you off.,93
329,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:42,RT @terri_georgia: Why I blew the whistle on the Rick Perry meeting @CNN https://t.co/vypQMgueQz,94
330,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:41,@Pissyjo @CNN 🖕🏻🖕🏻🖕🏻CNN!!!!!,95
331,-0.3182,0.095,0.095,0.0,@CNN,2018-03-29 18:13:40,RT @CNN: Kellyanne Conway's husband has begun deleting a series of tweets he posted in the past month that are critical of President Trump…,96
332,-0.7574,0.371,0.371,0.0,@CNN,2018-03-29 18:13:39,@CNN @zbyronwolf Fake news brought to you by the king of fake news!,97
333,0.2023,0.193,0.193,0.255,@CNN,2018-03-29 18:13:39,"RT @CNN: This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt https://t.co/2BxR…",98
334,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:13:38,RT @johnekroll: #HRCvideo #ReleaseTheVideo #TheGreatAwakening #InternetBillofRights #QAnon #openingday #rustystaub #westwood  @cnn @realdon…,99
